,300104.SZ.Open,300104.SZ.High,300104.SZ.Low,300104.SZ.Close,300104.SZ.Volume,300104.SZ.Adjusted
1459,58.8,58.8,58.8,58.8,0,58.769
1460,58.8,58.8,58.8,58.8,0,58.769
1461,58.8,58.8,58.8,58.8,0,58.769
1462,58.8,58.8,58.8,58.8,0,58.769
1463,58.8,58.8,58.8,58.8,0,58.769
1464,58.8,58.8,58.8,58.8,0,58.8
1465,58.8,58.8,58.8,58.8,0,58.8
1466,58.8,58.8,58.8,58.8,0,58.8
1467,58.8,58.8,58.8,58.8,0,58.8
1468,58.8,58.8,58.8,58.8,0,58.8
1469,58.8,58.8,58.8,58.8,0,58.8
1470,58.8,58.8,58.8,58.8,0,58.8
1471,58.8,58.8,58.8,58.8,0,58.8
1472,58.8,58.8,58.8,58.8,0,58.8
1473,58.8,58.8,58.8,58.8,0,58.8
1474,58.8,58.8,58.8,58.8,0,58.8
1475,58.8,58.8,58.8,58.8,0,58.8
1476,58.8,58.8,58.8,58.8,0,58.8
1477,58.8,58.8,58.8,58.8,0,58.8
1478,58.8,58.8,58.8,58.8,0,58.8
1479,58.8,58.8,58.8,58.8,0,58.8
1480,58.8,58.8,58.8,58.8,0,58.8
1481,58.8,58.8,58.8,58.8,0,58.8
1482,58.8,58.8,58.8,58.8,0,58.8
1483,58.8,58.8,58.8,58.8,0,58.8
1484,58.8,58.8,58.8,58.8,0,58.8
1485,58.8,58.8,58.8,58.8,0,58.8
1486,58.8,58.8,58.8,58.8,0,58.8
1487,52.89,60.98,52.89,56.32,216798000,56.32
1488,55.69,56.5,53,53.48,106978100,53.48
1489,53.64,54.6,52.48,53.31,72980000,53.31
1490,52.56,54,52.55,52.8,56332400,52.8
1491,52.8,52.8,52.8,52.8,0,52.8
1492,52.8,52.8,52.8,52.8,0,52.8
1493,51.8,51.95,47.52,47.52,74853600,47.52
1494,47.5,47.98,44.56,45.54,57202400,45.54
1495,45.01,48.8,44.87,47.85,51989000,47.85
1496,47.39,49.16,46.81,46.95,38529900,46.95
1497,47.06,49.01,47.06,47.55,36002500,47.55
1498,47.88,49.36,47.39,48.69,40124000,48.69
1499,49.02,49.19,46,46.3,43780400,46.3
1500,46.28,47.25,46.15,47,27192400,47
1501,46.95,47.68,45.31,46.9,41731900,46.9
1502,46.45,47.35,44.8,46.2,35983600,46.2
1503,46.08,47.34,45.87,47.05,29975000,47.05
1504,47.18,48.71,46.9,48.3,41377200,48.3
1505,48.28,48.7,47.69,48.1,33225800,48.1
1506,48.12,52.91,48.12,52.91,78931500,52.91
1507,52.8,53.96,51.8,52.1,50370200,52.1
1508,51.8,52.98,51.53,52.1,38379300,52.1
1509,52.27,52.86,51.62,52.3,30711800,52.3
1510,52.3,52.3,52.3,52.3,0,52.3
1511,52.3,52.3,52.3,52.3,0,52.3
1512,52.3,52.3,52.3,52.3,0,52.3
1513,52.3,52.3,52.3,52.3,0,52.3
1514,52.3,52.3,52.3,52.3,0,52.3
1515,52.3,52.3,52.3,52.3,0,52.3
1516,52.8,53.39,50,50.81,44107400,50.81
1517,50.72,51.99,50.66,51.45,27062800,51.45
1518,51.49,51.49,48.85,49.08,33797400,49.08
1519,49.48,50.12,49.02,49.78,20757100,49.78
1520,49.78,52.77,49.52,51.13,38760700,51.13
1521,50.6,51.5,50,50.35,24889500,50.35
1522,50.16,51.35,49.9,49.94,19853200,49.94
1523,49.95,50.28,48.88,49.25,18125600,49.25
1524,48.55,49.78,48.41,49.49,19956800,49.49
1525,50.58,51.78,47.59,48.5,44467300,48.5
1526,48.31,49.6,46.73,47.62,31060900,47.62
1527,48.07,48.3,46.6,47.15,17722000,47.15
1528,46.85,47.13,44.9,45.88,23960600,45.88
1529,46,46.87,45.99,46.42,14065600,46.42
1530,46.7,47.08,46.08,46.41,13770500,46.41
1531,46.45,47.49,45.81,47.15,17736800,47.15
1532,47.35,47.45,46.56,46.85,12305400,46.85
1533,46.1,46.44,45,46.1,23991300,46.1
1534,45.45,46.5,45.45,46.45,16798500,46.45
1535,46.5,46.81,45.66,45.87,17750400,45.87
1536,46.15,46.97,45.61,45.88,23905000,45.88
1537,45.6,46.11,45.05,45.73,19152200,45.73
1538,45.53,48.5,45.2,47.65,41396900,47.65
1539,47.22,48.71,47.22,47.76,29047200,47.76
1540,47.6,49.35,47.53,48.22,35404500,48.22
1541,47.77,48.2,47.1,47.31,28235600,47.31
1542,47.4,47.66,47.12,47.23,12853100,47.23
1543,47.23,47.96,45.77,45.79,22480400,45.79
1544,46.2,47.2,45.89,46.38,19610000,46.38
1545,46.4,46.85,46.11,46.31,11710500,46.31
1546,46.19,46.31,45.56,45.86,13797500,45.86
1547,45.8,46.58,45.75,45.81,12173200,45.81
1548,45.83,46.05,45.4,45.76,11798300,45.76
1549,45.84,45.98,45.65,45.8,8912000,45.8
1550,45.9,46.64,45.5,46.17,15200500,46.17
1551,46.08,46.15,45.3,45.3,15792700,45.3
1552,45.2,45.67,45.08,45.23,9983800,45.23
1553,45.55,45.62,44.88,44.94,10751200,44.94
1554,44.94,45.65,43.2,45.5,26697000,45.5
1555,45.51,45.8,45.16,45.16,13562200,45.16
1556,45.16,45.48,44.5,44.75,14593000,44.75
1557,44.95,45.22,44.73,44.85,10534900,44.85
1558,44.04,46.17,44,44.52,21855500,44.52
1559,44.78,44.97,43.92,43.98,14055300,43.98
1560,44.4,45.4,44.06,45.4,20184000,45.4
1561,45.4,45.4,45.4,45.4,0,45.4
1562,45.4,45.4,45.4,45.4,0,45.4
1563,46,49.74,45.78,47.3,52041600,47.3
1564,47,47.4,46.18,46.27,20615900,46.27
1565,46.4,46.95,45.95,46.27,15064900,46.27
1566,46.76,46.82,45.5,45.99,14345000,45.99
1567,46.03,46.3,45.62,45.75,9954500,45.75
1568,45.7,46.2,44.4,44.4,16122500,44.4
1569,44.26,44.59,43.9,44.54,11823100,44.54
1570,44.55,44.57,44,44.18,7951700,44.18
1571,44.18,45.2,44.12,44.22,12279800,44.22
1572,44.2,44.58,44.15,44.25,7785200,44.25
1573,44.25,44.25,44.25,44.25,0,44.25
1574,44.25,44.25,44.25,44.25,0,44.25
1575,44.25,44.25,44.25,44.25,0,44.25
1576,44.25,44.25,44.25,44.25,0,44.25
1577,44.25,44.25,44.25,44.25,0,44.25
1578,44.55,45.33,44.47,45.21,13865200,45.21
1579,45.21,45.28,44.83,45.01,9447000,45.01
1580,44.8,44.97,44.63,44.72,9608700,44.72
1581,44.88,45.18,44.36,44.5,11085500,44.5
1582,44.48,44.49,44,44.37,9376600,44.37
1583,44.55,44.58,44.01,44.05,9121900,44.05
1584,44.11,44.92,43.98,44.83,14727600,44.83
1585,44.9,45.28,44.63,44.9,13064200,44.9
1586,45,45.18,44.4,44.5,11894600,44.5
1587,45,45.99,44.81,44.96,24073300,44.96
1588,44.87,45.72,44.61,45.33,16973400,45.33
1589,45.54,45.72,45.04,45.32,12835100,45.32
1590,45.32,45.38,44.36,44.61,15459800,44.61
1591,44.55,44.82,44.11,44.43,9107100,44.43
1592,44.38,44.77,44.08,44.15,11112600,44.15
1593,44.14,44.4,43.95,44.15,8097100,44.15
1594,44.1,44.39,44.06,44.33,9255500,44.33
1595,44.26,44.26,40.95,41.01,53379200,41.01
1596,39.9,40.92,39.39,40.63,36965000,40.63
1597,40.31,40.59,39.55,39.71,27420900,39.71
1598,37.7,39,37.03,37.85,50209500,37.85
1599,38,39.28,37.7,38.99,45083700,38.99
1600,38.99,39,37.64,38.12,31429200,38.12
1601,38.45,38.6,37.95,37.99,25544900,37.99
1602,37.42,38.38,36.36,38.38,64262100,38.38
1603,38.54,39.91,38.4,39.06,62012200,39.06
1604,38.6,39.1,38,39.1,35414100,39.1
1605,40.5,40.88,38.8,38.96,47958100,38.96
1606,38.49,38.85,38.19,38.19,25958600,38.19
1607,38.17,38.44,37.7,37.91,18683500,37.91
1608,37.7,37.96,36.88,37.25,29893800,37.25
1609,37.5,38.18,37.1,38.16,31984800,38.16
1610,38.15,38.5,37.53,37.82,33696900,37.82
1611,37.7,38.29,37.46,37.55,20887500,37.55
1612,37.58,38.8,37.5,38.39,38243700,38.39
1613,38.37,38.37,37.55,37.82,25667000,37.82
1614,37.9,38.37,37.3,38.05,31417700,38.05
1615,38.25,38.97,37.81,38.02,33903800,38.02
1616,37.86,38.85,37.46,38.05,28066200,38.05
1617,38,39.3,37.71,38.88,61899700,38.88
1618,38.8,39.05,38.21,38.85,30349300,38.85
1619,39.1,39.22,35.01,35.8,62304200,35.8
1620,35.8,35.8,35.8,35.8,0,35.8
1621,35.8,35.8,35.8,35.8,0,35.8
1622,35.8,35.8,35.8,35.8,0,35.8
1623,35.8,35.8,35.8,35.8,0,35.8
1624,35.8,35.8,35.8,35.8,0,35.8
1625,35.8,35.8,35.8,35.8,0,35.8
1626,35.8,35.8,35.8,35.8,0,35.8
1627,35.8,35.8,35.8,35.8,0,35.8
1628,35.8,35.8,35.8,35.8,0,35.8
1629,35.8,35.8,35.8,35.8,0,35.8
1630,35.8,35.8,35.8,35.8,0,35.8
1631,35.8,35.8,35.8,35.8,0,35.8
1632,35.8,35.8,35.8,35.8,0,35.8
1633,35.8,35.8,35.8,35.8,0,35.8
1634,35.8,35.8,35.8,35.8,0,35.8
1635,35.8,35.8,35.8,35.8,0,35.8
1636,35.8,35.8,35.8,35.8,0,35.8
1637,35.8,35.8,35.8,35.8,0,35.8
1638,35.8,35.8,35.8,35.8,0,35.8
